expected_intent,predicted_intent,count
goodbye,about_system,21
greeting,about_system,18
buyer_account_settings,buyer_update_profile,11
buyer_signup,buyer_logout,9
help,about_system,9
out_of_scope,about_system,8
buyer_login,buyer_logout,8
buyer_login,buyer_login_errors,8
buyer_login_errors,buyer_login,7
about_system,help,7
buyer_logout,buyer_login_errors,6
find_property,location_info,6
out_of_scope,help,5
buyer_chatbot_how,about_system,5
about_system,greeting,5
about_system,buyer_chatbot_how,4
buyer_login,buyer_signup,4
find_property,about_system,4
find_ready_property,find_property_for_need,4
find_near_landmark,find_property,4
process_info,about_system,3
greeting,buyer_chatbot_how,3
buyer_dashboard_flow,buyer_login,3
find_with_feature,find_property,3
buyer_login_errors,buyer_logout,3
financing,location_info,3
buyer_dashboard_flow,buyer_login_errors,2
process_info,buyer_signup_requirements,2
find_property,find_property_with_criteria,2
match_needs,find_property_for_need,2
buyer_kyc,buyer_messages_how,2
buyer_liked_saved_how,find_property,2
process_info,find_property,1
about_system,buyer_messages_how,1
about_system,find_ready_property,1
find_with_feature,location_info,1
buyer_messages_how,buyer_kyc,1
find_property,find_near_landmark,1
find_property,goodbye,1
buyer_signup,buyer_signup_requirements,1
location_info,about_system,1
find_property,process_info,1
buyer_chatbot_how,goodbye,1
find_property,find_ready_property,1
buyer_kyc,buyer_guest_access,1
goodbye,help,1
about_system,goodbye,1
goodbye,greeting,1
about_system,location_info,1
location_info,find_property,1
financing,find_with_feature,1
find_property_with_criteria,find_with_feature,1
find_property_with_criteria,find_property,1
find_property_for_need,match_needs,1
goodbye,thanks,1
find_property,find_property_for_need,1
find_property_for_need,location_info,1
financing,about_system,1
