intent,test_queries,correct,wrong,accuracy_percent,error_percent
thanks,21,21,0,100.0,0.0
match_needs,12,12,0,100.0,0.0
financing,9,9,0,100.0,0.0
find_near_landmark,8,8,0,100.0,0.0
location_info,8,8,0,100.0,0.0
process_info,8,8,0,100.0,0.0
find_property_for_need,7,7,0,100.0,0.0
buyer_account_settings,1,1,0,100.0,0.0
buyer_chatbot_how,1,1,0,100.0,0.0
buyer_dashboard_flow,1,1,0,100.0,0.0
buyer_email_verification,1,1,0,100.0,0.0
buyer_forgot_password,1,1,0,100.0,0.0
buyer_guest_access,1,1,0,100.0,0.0
buyer_kyc,1,1,0,100.0,0.0
buyer_liked_saved_how,1,1,0,100.0,0.0
buyer_login,1,1,0,100.0,0.0
buyer_login_google,1,1,0,100.0,0.0
buyer_logout,1,1,0,100.0,0.0
buyer_messages_how,1,1,0,100.0,0.0
buyer_recommendations_how,1,1,0,100.0,0.0
buyer_resend_otp,1,1,0,100.0,0.0
buyer_signup,1,1,0,100.0,0.0
buyer_signup_password,1,1,0,100.0,0.0
buyer_signup_phone,1,1,0,100.0,0.0
buyer_signup_requirements,1,1,0,100.0,0.0
buyer_update_profile,1,1,0,100.0,0.0
buyer_verify_otp,1,1,0,100.0,0.0
find_ready_property,7,6,1,85.71,14.29
goodbye,19,16,3,84.21,15.79
find_property_with_criteria,33,27,6,81.82,18.18
find_with_feature,37,30,7,81.08,18.92
out_of_scope,20,16,4,80.0,20.0
greeting,29,23,6,79.31,20.69
find_property,45,35,10,77.78,22.22
about_system,27,21,6,77.78,22.22
help,7,4,3,57.14,42.86
schedule_viewing,7,4,3,57.14,42.86
buyer_login_errors,1,0,1,0.0,100.0
