Intent_label,Test_queries,Correct,Wrong,Success_rate_percent,Fail_rate_percent
buyer_email_verification,79,79,0,100.0,0.0
buyer_forgot_password,79,79,0,100.0,0.0
buyer_guest_access,79,79,0,100.0,0.0
buyer_login_google,79,79,0,100.0,0.0
buyer_recommendations_how,80,80,0,100.0,0.0
buyer_resend_otp,79,79,0,100.0,0.0
buyer_signup_password,79,79,0,100.0,0.0
buyer_signup_phone,80,80,0,100.0,0.0
buyer_signup_requirements,79,79,0,100.0,0.0
buyer_update_profile,80,80,0,100.0,0.0
buyer_verify_otp,80,80,0,100.0,0.0
schedule_viewing,79,79,0,100.0,0.0
thanks,80,80,0,100.0,0.0
buyer_messages_how,79,78,1,98.73,1.27
buyer_liked_saved_how,79,77,2,97.47,2.53
find_property_for_need,79,77,2,97.47,2.53
find_property_with_criteria,79,77,2,97.47,2.53
location_info,79,77,2,97.47,2.53
match_needs,79,77,2,97.47,2.53
buyer_kyc,80,77,3,96.25,3.75
find_near_landmark,80,76,4,95.0,5.0
find_with_feature,80,76,4,95.0,5.0
find_ready_property,79,75,4,94.94,5.06
buyer_dashboard_flow,80,75,5,93.75,6.25
financing,80,75,5,93.75,6.25
buyer_chatbot_how,80,74,6,92.5,7.5
process_info,80,74,6,92.5,7.5
buyer_logout,79,73,6,92.41,7.59
help,80,71,9,88.75,11.25
buyer_login_errors,80,70,10,87.5,12.5
buyer_signup,79,69,10,87.34,12.66
buyer_account_settings,79,68,11,86.08,13.92
out_of_scope,80,67,13,83.75,16.25
find_property,97,80,17,82.47,17.53
about_system,79,59,20,74.68,25.32
buyer_login,79,59,20,74.68,25.32
greeting,81,60,21,74.07,25.93
goodbye,79,55,24,69.62,30.38
TOTAL:,3037,2828,209,93.12,6.88
